xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-5.45	-4.55	-0.946752579357236	0	6350,0	1	0
-4.45	-3.55	-1.96742696762462	0	6350,0	2	0
-3.45	-2.55	-0.766494050677946	0	6350,0	3	0
-2.45	-1.55	-1.06929675455588	0	6350,0	4	0
-1.45	-0.55	-0.00869668340119382	0	6350,0	5	0
-0.45	0.45	-0.430485828359094	0	6350,0	6	0
0.55	1.45	-0.299640273550223	0	6350,0	7	0
1.55	2.45	-2.03225678934261	0	6350,0	8	0
2.55	3.45	-0.786259240226114	0	6350,0	9	0
3.55	4.45	-1.16891330987864	0	6350,0	10	0
-45.45	-44.55	-1.06455310906432	0	6400,0	11	0
-44.45	-43.55	-2.48132189587698	0	6400,0	12	0
-42.45	-41.55	-2.0377910424161	0	6400,0	14	1
-41.45	-40.55	-1.54563782266672	0	6400,0	15	1
-40.45	-39.55	-1.94568525912164	0	6400,0	16	1
-39.45	-38.55	-1.47369253271139	0	6400,0	17	1
-38.45	-37.55	-0.201604933391311	0	6400,0	18	1
-37.45	-36.55	-0.370004348341701	0	6400,0	19	1
-33.45	-32.55	-0.267225362691228	0	6400,0	23	4
-28.45	-27.55	-1.68438945329486	0	6400,0	28	8
-27.45	-26.55	-0.373562082460371	0	6400,0	29	8
-21.45	-20.55	-2.09550539589675	0	6400,0	35	13
-20.45	-19.55	-1.96268332213306	0	6400,0	36	13
-19.45	-18.55	-1.97296122069811	0	6400,0	37	13
-17.45	-16.55	-1.64604498557141	0	6400,0	39	14
-16.45	-15.55	-0.559750168004111	0	6400,0	40	14
-15.45	-14.55	-1.31398980116219	0	6400,0	41	14
-14.45	-13.55	-2.26271889947425	0	6400,0	42	14
-13.45	-12.55	-3.59291615606594	0	6400,0	43	14
-12.45	-11.55	-1.11040834881607	0	6400,0	44	14
-11.45	-10.55	-0.460133612681346	0	6400,0	45	14
-10.45	-9.55	-0.310708779697197	0	6400,0	46	14
-9.45	-8.55	-2.10973633237143	0	6400,0	47	14
-8.45	-7.55	-0.552634699766771	0	6400,0	48	14
-7.45	-6.55	-0.552239395975807	0	6400,0	49	14
-5.45	-4.55	-2.78728703008262	0	6400,0	51	15
-4.45	-3.55	-0.409534727438036	0	6400,0	52	15
-3.45	-2.55	-1.78519191999051	0	6400,0	53	15
-2.45	-1.55	-0.535636636755347	0	6400,0	54	15
-1.45	-0.55	-0.966517768905404	0	6400,0	55	15
-0.45	0.45	-0.649879432343756	0	6400,0	56	15
0.55	1.45	-0.910384630588607	0	6400,0	57	15
1.55	2.45	-0.429695220777167	0	6400,0	58	15
2.55	3.45	-0.888642922085623	0	6400,0	59	15
3.55	4.45	-0.288571767403249	0	6400,0	60	15
4.55	5.45	-0.684270862157568	0	6400,0	61	15
-45.45	-44.55	-1.06455310906432	0	6400,50	62	15
-44.45	-43.55	-2.48132189587698	0	6400,50	63	15
-42.45	-41.55	-2.0377910424161	0	6400,50	65	16
-41.45	-40.55	-1.54563782266672	0	6400,50	66	16
-40.45	-39.55	-1.94568525912164	0	6400,50	67	16
-39.45	-38.55	-1.47369253271139	0	6400,50	68	16
-38.45	-37.55	-0.201604933391311	0	6400,50	69	16
-37.45	-36.55	-0.370004348341701	0	6400,50	70	16
-33.45	-32.55	-0.267225362691228	0	6400,50	74	19
-28.45	-27.55	-1.68438945329486	0	6400,50	79	23
-27.45	-26.55	-0.373562082460371	0	6400,50	80	23
-21.45	-20.55	-2.09550539589675	0	6400,50	86	28
-20.45	-19.55	-1.96268332213306	0	6400,50	87	28
-19.45	-18.55	-1.97296122069811	0	6400,50	88	28
-17.45	-16.55	-1.64604498557141	0	6400,50	90	29
-16.45	-15.55	-0.559750168004111	0	6400,50	91	29
-15.45	-14.55	-1.31398980116219	0	6400,50	92	29
-14.45	-13.55	-2.26271889947425	0	6400,50	93	29
-13.45	-12.55	-3.59291615606594	0	6400,50	94	29
-12.45	-11.55	-1.11040834881607	0	6400,50	95	29
-11.45	-10.55	-0.460133612681346	0	6400,50	96	29
-10.45	-9.55	-0.310708779697197	0	6400,50	97	29
-9.45	-8.55	-2.10973633237143	0	6400,50	98	29
-8.45	-7.55	-0.552634699766771	0	6400,50	99	29
-7.45	-6.55	-0.552239395975807	0	6400,50	100	29
-5.45	-4.55	-2.78728703008262	0	6400,50	102	30
-4.45	-3.55	-0.409534727438036	0	6400,50	103	30
-3.45	-2.55	-1.78519191999051	0	6400,50	104	30
-2.45	-1.55	-0.535636636755347	0	6400,50	105	30
-1.45	-0.55	-0.966517768905404	0	6400,50	106	30
-0.45	0.45	-0.649879432343756	0	6400,50	107	30
0.55	1.45	-0.910384630588607	0	6400,50	108	30
1.55	2.45	-0.429695220777167	0	6400,50	109	30
2.55	3.45	-0.888642922085623	0	6400,50	110	30
3.55	4.45	-0.288571767403249	0	6400,50	111	30
4.55	5.45	-0.684270862157568	0	6400,50	112	30
-43.45	-42.55	-0.0573190496896865	0	6450,50	114	31
-42.45	-41.55	-0.0873621378029015	0	6450,50	115	31
-39.45	-38.55	-1.40570028066569	0	6450,50	118	33
-37.45	-36.55	-0.107522631142033	0	6450,50	120	34
-36.45	-35.55	-0.124125390362494	0	6450,50	121	34
-35.45	-34.55	-0.0256947464126181	0	6450,50	122	34
-34.45	-33.55	-0.886271099339843	0	6450,50	123	34
-33.45	-32.55	-0.576748231015535	0	6450,50	124	34
-32.45	-31.55	-0.268015970273155	0	6450,50	125	34
-31.45	-30.55	-1.39423647072775	0	6450,50	126	34
-30.45	-29.55	-0.583468395461913	0	6450,50	127	34
-29.45	-28.55	-0.505593548642132	0	6450,50	128	34
-28.45	-27.55	-0.0636439103451002	0	6450,50	129	34
-27.45	-26.55	-0.987073566035498	0	6450,50	130	34
-26.45	-25.55	-0.703245444123809	0	6450,50	131	34
-25.45	-24.55	-1.46736767205598	0	6450,50	132	34
-24.45	-23.55	-2.02316480215045	0	6450,50	133	34
-23.45	-22.55	-0.767679962050836	0	6450,50	134	34
-22.45	-21.55	-1.61204885954856	0	6450,50	135	34
-21.45	-20.55	-0.710756216152113	0	6450,50	136	34
-20.45	-19.55	-0.440368423133178	0	6450,50	137	34
-19.45	-18.55	-0.0818278847294146	0	6450,50	138	34
-18.45	-17.55	-3.08099774676839	0	6450,50	139	34
-17.45	-16.55	-1.12147685496304	0	6450,50	140	34
-16.45	-15.55	-0.872830770447089	0	6450,50	141	34
-15.45	-14.55	-1.27683124481164	0	6450,50	142	34
-14.45	-13.55	-0.59493220539985	0	6450,50	143	34
